"id","nota_fiscal_id","auditor_id","data_auditoria","status","observacoes"
1,1,1,"2025-02-01","aprovada","Todos os valores corretos"
2,2,2,"2025-02-05","pendente","Verificar cálculo do ICMS"
3,3,1,"2025-02-10","reprovada","Documento incompleto"
4,1,1,"2025-01-16","aprovada","Todos os valores conferidos e corretos."
5,2,2,"2025-01-17","pendente","Verificar cálculo do ICMS."
6,3,1,"2025-01-18","reprovada","Documento incompleto, faltam anexos."
7,4,2,"2025-01-19","aprovada","Conferência ok."
8,5,1,"2025-01-20","aprovada","Auditoria sem problemas."
9,6,2,"2025-01-21","pendente","Valores de ISS precisam revisão."
10,7,1,"2025-01-22","aprovada","Tudo conforme esperado."
11,8,2,"2025-01-23","reprovada","Erro na data de emissão."
12,9,1,"2025-01-24","aprovada","Conferido e aprovado."
13,10,2,"2025-01-25","pendente","Revisar desconto aplicado."
14,11,1,"2025-01-26","aprovada","Auditoria concluída com sucesso."
15,12,2,"2025-01-27","reprovada","Falta assinatura do responsável."
16,13,1,"2025-01-28","aprovada","Valores conferidos."
17,14,2,"2025-01-29","pendente","Verificar tributação PIS/COFINS."
18,15,1,"2025-01-30","aprovada","Todos os campos corretos."
19,16,2,"2025-01-31","reprovada","Documento incompleto, faltam anexos."
20,17,1,"2025-02-01","aprovada","Auditoria finalizada."
21,18,2,"2025-02-02","pendente","Valores de ICMS precisam revisão."
22,19,1,"2025-02-03","aprovada","Tudo conforme esperado."
23,20,2,"2025-02-04","reprovada","Erro na emissão da nota."
24,21,1,"2025-02-05","aprovada","Conferido e aprovado."
25,22,2,"2025-02-06","pendente","Revisar cálculo de desconto."
26,23,1,"2025-02-07","aprovada","Auditoria concluída com sucesso."
27,24,2,"2025-02-08","reprovada","Falta assinatura do responsável."
28,25,1,"2025-02-09","aprovada","Valores conferidos."
29,26,2,"2025-02-10","pendente","Verificar tributação ISS."
30,27,1,"2025-02-11","aprovada","Todos os campos corretos."
31,28,2,"2025-02-12","reprovada","Documento incompleto, faltam anexos."
32,29,1,"2025-02-13","aprovada","Auditoria finalizada."
33,30,2,"2025-02-14","pendente","Valores de ICMS precisam revisão."
34,31,1,"2025-02-15","aprovada","Tudo conferido."
35,32,2,"2025-02-16","reprovada","Erro na emissão da nota."
36,33,1,"2025-02-17","aprovada","Conferido e aprovado."
37,34,2,"2025-02-18","pendente","Revisar cálculo de desconto."
38,35,1,"2025-02-19","aprovada","Auditoria concluída com sucesso."
39,36,2,"2025-02-20","reprovada","Falta assinatura do responsável."
40,37,1,"2025-02-21","aprovada","Valores conferidos."
41,38,2,"2025-02-22","pendente","Verificar tributação PIS/COFINS."
42,39,1,"2025-02-23","aprovada","Todos os campos corretos."
43,40,2,"2025-02-24","reprovada","Documento incompleto."
44,41,1,"2025-02-25","aprovada","Auditoria finalizada."
45,42,2,"2025-02-26","pendente","Revisar valores do ISS."
46,43,1,"2025-02-27","aprovada","Conferido e aprovado."
47,44,2,"2025-02-28","reprovada","Erro na emissão da nota."
48,45,1,"2025-03-01","aprovada","Auditoria concluída."
49,46,2,"2025-03-02","pendente","Valores de ICMS precisam revisão."
50,47,1,"2025-03-03","aprovada","Todos os campos corretos."
51,48,2,"2025-03-04","reprovada","Documento incompleto, faltam anexos."
52,49,1,"2025-03-05","aprovada","Conferência finalizada."
